"","term","type","polarity","polarity_revision"
"1","=[","emot",-1,"A"
"2","=@","emot",-1,"A"
"3","=p","emot",-1,"A"
"4","=P","emot",-1,"A"
"5","=x","emot",-1,"A"
"6","=d","emot",1,"A"
"7","=D","emot",1,"A"
"8",";)","emot",1,"A"
"9",";)","emot",1,"A"
"10",";@","emot",-1,"A"
"11",";*","emot",-1,"A"
"12",";**","emot",-1,"A"
"13",";~","emot",-1,"A"
"14",";D","emot",-1,"A"
"15",";D","emot",-1,"A"
"16",";p","emot",-1,"A"
"17",";P","emot",-1,"A"
"18",";p","emot",-1,"A"
"19",";x","emot",-1,"A"
"20",";xx","emot",-1,"A"
"21",":'(","emot",-1,"A"
"22",":')","emot",-1,"A"
"23",":(","emot",-1,"A"
"24",":(","emot",-1,"A"
"25",":)","emot",1,"A"
"26",":)","emot",1,"A"
"27",":)))","emot",1,"A"
"28",":]","emot",-1,"A"
"29",":@","emot",0,"A"
"30",":@","emot",0,"A"
"31",":*","emot",-1,"A"
"32",":*","emot",-1,"A"
"33",":<","emot",-1,"A"
"34",":~","emot",-1,"A"
"35",":$","emot",-1,"A"
"36",":D","emot",1,"A"
"37",":p","emot",-1,"A"
"38",":P","emot",0,"A"
"39",":P","emot",0,"A"
"40",":x","emot",-1,"A"
"41",":x","emot",-1,"A"
"42",":x)","emot",1,"A"
"43","(:","emot",-1,"A"
"44","(=","emot",1,"A"
"45","):","emot",-1,"A"
"46",")):","emot",-1,"A"
"47","*:","emot",-1,"A"
"48","#2","htag",-1,"A"
"49","#2011","htag",-1,"A"
"50","#2014","htag",-1,"A"
"51","#4square","htag",-1,"A"
"52","#64bit","htag",1,"A"
"53","#adsl","htag",-1,"A"
"54","#aduvirientregate","htag",1,"A"
"55","#afazenda","htag",-1,"A"
"56","#aff","htag",-1,"A"
"57","#again","htag",-1,"A"
"58","#agendadeldia","htag",1,"A"
"59","#agua","htag",1,"A"
"60","#aimeucora","htag",-1,"A"
"61","#alan","htag",-1,"A"
"62","#aline","htag",-1,"A"
"63","#amo","htag",1,"A"
"64","#amodoro","htag",1,"A"
"65","#amor","htag",-1,"A"
"66","#amorposmoderno","htag",1,"A"
"67","#an","htag",1,"A"
"68","#android","htag",1,"A"
"69","#animada","htag",-1,"A"
"70","#apagao","htag",-1,"A"
"71","#apps","htag",-1,"A"
"72","#aqu","htag",1,"A"
"73","#ari","htag",-1,"A"
"74","#ariane","htag",-1,"A"
"75","#bad","htag",-1,"A"
"76","#bakugan","htag",-1,"A"
"77","#bam","htag",1,"A"
"78","#bandida","htag",-1,"A"
"79","#bankonline","htag",1,"A"
"80","#batalhanerd","htag",1,"A"
"81","#beer","htag",1,"A"
"82","#beijo","htag",1,"A"
"83","#belemfeelings","htag",-1,"A"
"84","#bigmistake","htag",-1,"A"
"85","#bigsuprise","htag",1,"A"
"86","#bio","htag",1,"A"
"87","#biologia","htag",-1,"A"
"88","#birdbrain","htag",-1,"A"
"89","#blackberry","htag",-1,"A"
"90","#blackhat","htag",-1,"A"
"91","#blogprog","htag",-1,"A"
"92","#bodareal","htag",-1,"A"
"93","#bombando","htag",-1,"A"
"94","#bomdia","htag",-1,"A"
"95","#bomdiabrasil","htag",-1,"A"
"96","#boobs","htag",1,"A"
"97","#boomsm","htag",1,"A"
"98","#boss","htag",1,"A"
"99","#brandsclub","htag",-1,"A"
"100","#brasil","htag",-1,"A"
"101","#brasilia","htag",-1,"A"
"102","#brasilsilsil","htag",-1,"A"
"103","#brazilians","htag",-1,"A"
"104","#bsb","htag",-1,"A"
"105","#bub","htag",-1,"A"
"106","#buongiorno","htag",-1,"A"
"107","#burro","htag",-1,"A"
"108","#cad","htag",-1,"A"
"109","#caelum","htag",1,"A"
"110","#cafeina","htag",-1,"A"
"111","#caixa","htag",-1,"A"
"112","#cal","htag",1,"A"
"113","#camaradagem","htag",-1,"A"
