"content";"score";"thumbsUpCount";"reviewCreatedVersion";"at";"replyContent";"repliedAt";"clean_text";"sentiment";"words";"neut";"pos";"neg";"sentiment_normalized";"sentiment_binary"
"Melhor app";"5";"0";"7.21.0.5";"2020-05-24T17:19:53";"";"";" melhor app";"1.0";"2.0";"1.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Muito bom excelente app";"5";"0";"7.21.0.5";"2020-05-24T17:19:29";"";"";" bom excelente app";"2.0";"3.0";"1.0";"2.0";"0.0";"-0.1428571428571429";"-1"
"Quando eu preciso não ajuda em nada";"1";"0";"7.21.0.5";"2020-05-24T17:19:07";"";"";" preciso não ajuda nada";"1.0";"4.0";"3.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Excelente Aplicativo!";"5";"0";"7.21.1.0";"2020-05-24T17:17:21";"";"";" excelente aplicativo";"1.0";"2.0";"1.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Muito bom..fácil instalação... fácil de entender.. estou muito contente com essa novidade para mim ... obrigado à todos!";"5";"0";"7.21.0.5";"2020-05-24T17:17:13";"";"";" bom fácil instalação fácil entender contente novidade mim obrigado todos";"4.0";"10.0";"4.0";"5.0";"1.0";"0.4285714285714284";"0"
"MUITO bom!";"5";"0";"7.21.0.5";"2020-05-24T17:16:43";"";"";" bom";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Show";"5";"0";"7.21.0.5";"2020-05-24T17:13:41";"";"";" show";"0.0";"1.0";"1.0";"0.0";"0.0";"-0.7142857142857143";"-1"
"excelente app fácil rápido e seguro faço tudo que preciso sem problemas muito bom";"5";"0";"";"2020-05-24T17:12:32";"";"";" excelente app fácil rápido seguro faço tudo preciso problemas bom";"6.0";"10.0";"4.0";"6.0";"0.0";"1.0";"1"
"Sim Não sei Nao sei";"5";"0";"";"2020-05-24T17:12:29";"";"";" sim não sei nao sei";"0.0";"5.0";"5.0";"0.0";"0.0";"-0.7142857142857143";"-1"
"cara isso é massa resolvo tudo por aqui mesmo muito ótimo";"5";"0";"7.21.0.5";"2020-05-24T17:12:10";"";"";" cara massa resolvo tudo aqui ótimo";"0.0";"6.0";"4.0";"1.0";"1.0";"-0.7142857142857143";"-1"
"Ótimo";"5";"0";"7.21.0.5";"2020-05-24T17:10:09";"";"";" ótimo";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Muinto pratico consigo realizar muintas tarefas com praticidade";"4";"0";"7.21.0.5";"2020-05-24T17:09:39";"";"";" muinto pratico consigo realizar muintas tarefas praticidade";"1.0";"7.0";"6.0";"1.0";"0.0";"-0.4285714285714286";"-1"
