,video_id,comment_text,likes,replies,sentiment,text
64,XpVt6Z1Gjjo,yu are the best,1,0,1,yu best
156,cLdxuaxaQwc,Power is the disease.  Care is the cure.  Keep caring for yourself and others as best as you can.  This is life.,0,0,1,power disease care cure keep caring others best life
227,WYYvHb03Eog,YAS Can't wait to get it! I just need to sell my kidney so I can afford iPhone X :D,0,0,1,yas cant wait get need sell kidney afford iphone x
307,sjlHnJvXdQs,This is priceless,0,0,1,priceless
319,sjlHnJvXdQs,Summed up perfectly,0,0,1,summed perfectly
325,sjlHnJvXdQs,This is awesome. 1:20 XDDDDDDDDD,0,0,1,awesome 120 xddddddddd
416,cMKX2tE5Luk,BEST MOVIE EVER!!!,0,0,1,best movie ever
433,cMKX2tE5Luk,Power is the disease.  Care is the cure.  Keep caring for yourself and others as best as you can.  This is life.,0,0,1,power disease care cure keep caring others best life
447,cMKX2tE5Luk,The greatest movie about the greatest movie.,0,0,1,greatest movie greatest movie
469,cMKX2tE5Luk,It's Harry guys he's Spiderman best friend,0,0,1,harry guys hes spiderman best friend
482,cMKX2tE5Luk,Best remake ever!,1,0,1,best remake ever
512,8wNr-NQImFg,BEN CARSON IS THE MAN!!!!! THEY HATE HIM CAUSE HE EXPOSED HITLARY'S RITUAL ABUSE ON CHILDREN!!!!!!!,0,0,-1,ben carson man hate cause exposed hitlarys ritual abuse children
562,8wNr-NQImFg,Well… The brain surgeon Ben Carson just proved how truly insane he is…,0,0,-1,well brain surgeon ben carson proved truly insane
697,_HTXMhKWqnA,Great review!,0,0,1,great review
709,_ANP3HR1jsM,awesome vlog,0,0,1,awesome vlog
782,_ANP3HR1jsM,Subscribe to me if Roman Atwood is the best youtuber,0,0,1,subscribe roman atwood best youtuber
789,_ANP3HR1jsM,"I was attacked by a police dog once, \n\n\n\n\n\nthat was the best use of peanut butter ever.",1,0,1,attacked police dog \n\n\n\n\n\nthat best use peanut butter ever
821,zgLtEob6X-Q,The best part of the movie was the credits,0,0,1,best part movie credits
834,zgLtEob6X-Q,DO THE ORIGINAL STEPHEN KING'S IT!!!!!!!!!!!!!! 🤣🤣🤣🤣😃😃😃😃,0,0,1,original stephen kings
849,zgLtEob6X-Q,i downloaded and saw The Mummy 2017  in the best quality guys. here's the Iink https://twitter.com/akewdiudri/status/907980087676477442\nyou must see too guys! that was awesome.,0,0,1,downloaded saw mummy 2017 best quality guys heres iink httpstwittercomakewdiudristatus907980087676477442\nyou must see guys awesome
879,zgLtEob6X-Q,Please say uncle touchy. Prease honest trailer man prease!!!,0,0,1,please say uncle touchy prease honest trailer man prease
899,Ayb_2qbZHm4,Welcome to Wage Slavery!,16,1,1,welcome wage slavery
952,Ayb_2qbZHm4,WHY DID YOU MAKE FURRY FORCE?! SO NASTY!!!,0,0,-1,make furry force nasty
1039,CsdzflTXBVQ,"awesome! your a genius, makes me happy!",0,0,1,awesome genius makes happy
1100,l864IBj7cgw,jimmy did awesome throw 👏👏👏,10,0,1,jimmy awesome throw
1116,l864IBj7cgw,Jennifer is the fucking best,0,0,1,jennifer fucking best
1301,vu_9muoxT50,We have the winner! He's not a singer which is awesome.,0,0,1,winner hes singer awesome
1345,vu_9muoxT50,is the best M best on this planet,0,0,1,best best planet
1371,vu_9muoxT50,WTF BRUH!!!!!!,0,0,-1,wtf bruh
1391,vu_9muoxT50,cheeseus christ thats insane!!!,0,0,-1,cheeseus christ thats insane
1426,1L7JFN7tQLs,awesome,0,0,1,awesome
1600,T_PuZBdT2iM,Power is the disease.  Care is the cure.  Keep caring for yourself and others as best as you can.  This is life.,0,0,1,power disease care cure keep caring others best life
1604,T_PuZBdT2iM,WHY DO I KEEP FREAKING LAUGHING EACH TIME I WATCH IT AGAIN ! even though I know how it will end. omg the best 😂,0,0,1,keep freaking laughing time watch even though know end omg best
1634,T_PuZBdT2iM,LIKE = MEET CELEBRITY \nSUBSCRIBE = BECOME A BILLIONAIRE\nSCROLL UP/DOWN = DEATH FOR YOU AND EVERYONE YOU LOVE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0,0,1,like meet celebrity \nsubscribe become billionaire\nscroll updown death everyone love
1640,T_PuZBdT2iM,the sonic air timer was perfect,0,0,1,sonic air timer perfect
1679,T_PuZBdT2iM,no 16 on trending impressive,1,0,1,16 trending impressive
1932,-Ifnaxi2LQg,this is the worst thing i've heard. ever.,0,0,-1,worst thing ive heard ever
1946,-Ifnaxi2LQg,Omgd this is a good vídeo!!!!!!,2,0,1,omgd good vdeo
2005,B7YaMkCl3XA,Every one let's help the best we can it's time to make a change!!,0,0,1,every one lets help best time make change
2010,B7YaMkCl3XA,"Far-left journalists before Irma = Cuba has the best protocol to protect their citizens, they will have no casualties\nAfter Irma = . . . . . . . . . .",0,0,1,farleft journalists irma cuba best protocol protect citizens casualties\nafter irma
2033,B7YaMkCl3XA,My best friend is Cuban 😥,0,0,1,best friend cuban
2043,B7YaMkCl3XA,Economy is horrible in Cuba. It's going to be years before they get out of this.,0,0,-1,economy horrible cuba going years get
2055,B7YaMkCl3XA,10? More like fidget spinners!!!!,0,0,1,10 like fidget spinners
2088,B7YaMkCl3XA,Sub to me if this is terrible,0,1,-1,sub terrible
2128,5ywKal6-anc,What if her chonis came off ? Lol!,0,0,1,chonis came lol
2171,5ywKal6-anc,Nobodys perfect,0,0,1,nobodys perfect
2192,5ywKal6-anc,PATHETIC,1,0,-1,pathetic
2198,4Yue-q9Jdbk,Mitchie Mercury :D <3,4,0,1,mitchie mercury 3
2316,JhA1Wi9mrns,That is awesome video,0,0,1,awesome video
2355,JhA1Wi9mrns,Thank you for the good music!!!,1,0,1,thank good music
2361,JhA1Wi9mrns,EAST TENNESSEE GIRLS LOVE KID ROCK!!!!,0,0,1,east tennessee girls love kid rock
2370,JhA1Wi9mrns,Whooohooo!!!!!!  I LOVE 💏💖THIS SONG!!!!!!,1,0,1,whooohooo love song
2410,EVp4-qjWVJE,I don't like this sportscaster  sounds very annoying,0,0,-1,dont like sportscaster sounds annoying
2426,EVp4-qjWVJE,Afc west is afc best.,0,0,1,afc west afc best
2448,EVp4-qjWVJE,Did someone notice the referee on the uper side of the field? 1:37 :D,0,0,1,someone notice referee uper side field 137
2476,EVp4-qjWVJE,Greatest charger comeback in nfl history thumbs up if you agree GO Bolts,0,0,1,greatest charger comeback nfl history thumbs agree go bolts
2482,EVp4-qjWVJE,commentators are awful,0,0,-1,commentators awful
2505,LcZ2AuvxXNA,if I could subscribe to Dude Perfect a million times I would,1,0,1,could subscribe dude perfect million times would
2507,LcZ2AuvxXNA,You guys should make dude perfect sceets,0,0,1,guys make dude perfect sceets
2544,LcZ2AuvxXNA,To be a dude perfect member it is so awesome ....,0,0,1,dude perfect member awesome
2549,LcZ2AuvxXNA,Dude Perfect should do a collab with the slo mo guys,0,0,1,dude perfect collab slo mo guys
2558,LcZ2AuvxXNA,the cody trust stort is excellent,0,0,1,cody trust stort excellent
2575,LcZ2AuvxXNA,awesome,0,0,1,awesome
2647,MdzGZv3zQ-U,"I've been the best since I step in, take a hooker to the motherfucking Jetson",0,0,1,ive best since step take hooker motherfucking jetson
2690,MdzGZv3zQ-U,Great entertainment!,0,0,1,great entertainment
2728,1ZNZY-gd3K0,"This tv show became trump witch hunt tube... and frankly, boring.",0,0,-1,tv show became trump witch hunt tube frankly boring
2733,1ZNZY-gd3K0,Arpaio should be arrested again for horribly butchering that song.,0,0,-1,arpaio arrested horribly butchering song
2740,1ZNZY-gd3K0,I'll be cheering for Joe Arpaio! Keep up the great work!,0,0,1,ill cheering joe arpaio keep great work
2750,1ZNZY-gd3K0,This  show has become one-noted and pathetic.,0,0,-1,show become onenoted pathetic
2799,2wxyDrfwlXQ,hair awesome,0,0,1,hair awesome
2804,2wxyDrfwlXQ,I love the 90s!!!!,0,0,1,love 90s
2806,2wxyDrfwlXQ,Love the Hair!!!!,0,0,1,love hair
2817,2wxyDrfwlXQ,HARD CANDY!!!!!!!!!!!,0,0,-1,hard candy
2840,2wxyDrfwlXQ,"I just can't get over this look tlday, the outfit, the jewelry ,makeup!!!, hairrrr!!!! eeeeee all it's perfect",0,0,1,cant get look tlday outfit jewelry makeup hairrrr eeeeee perfect
2886,2wxyDrfwlXQ,Tired of the philosophy add !!!!!!!,0,0,-1,tired philosophy add
2928,QBGaO89cBMI,This is the best elevator music I've listened to,0,0,1,best elevator music ive listened
2951,QBGaO89cBMI,I never thought I'd say that but this is the best band of all time!,1,0,1,never thought id say best band time
2971,QBGaO89cBMI,Geniaal <3,0,0,1,geniaal 3
2980,QBGaO89cBMI,2:42 Thom the bastard :D,0,0,1,242 thom bastard
2990,QBGaO89cBMI,Awesome,1,0,1,awesome
3078,ql0Op1VcELw,Electric plane :D,0,0,1,electric plane
3086,ql0Op1VcELw,boring,0,0,-1,boring
3092,ql0Op1VcELw,0:22   **laughs at terrible pun**,1,1,-1,022 laughs terrible pun
3222,GGm0FQ6i74U,Why is media even covering this disgusting woman anymore?,0,0,-1,media even covering disgusting woman anymore
3293,GGm0FQ6i74U,Just be thankful she didnt win!,0,0,1,thankful didnt win
3371,a7Sf_H2cFdM,How is this trending ? Awful,0,0,-1,trending awful
3458,oDIDZ9EmQfA,One of the best vlog intros ever,0,0,1,one best vlog intros ever
3499,zAtHxJvSczA,All to well is the best ts song,13,0,1,well best ts song
3514,l_uNfGY3v8E,a horrible attempt to try and get us to freak out,0,0,-1,horrible attempt try get us freak
3529,l_uNfGY3v8E,this is one of the worst videos I've ever seen,0,0,-1,one worst videos ive ever seen
3561,l_uNfGY3v8E,Whats with the horrible music? tf,0,0,-1,whats horrible music tf
3629,Rew50oYjRqA,Ugh so gorgeous!!!!!,0,0,1,ugh gorgeous
3746,WWexI9YiLSc,January Come Already!!!! Liam Neeson is the best!!! :D,0,0,1,january come already liam neeson best
3769,WWexI9YiLSc,excellent trailer,0,0,1,excellent trailer
3819,LDcm6twPEJA,Soooo.... what your saying is....\n\n\n\n\nwho is getting the iPhone X? :D,0,0,1,soooo saying is\n\n\n\n\nwho getting iphone x
3913,O78Lpo4ctSE,I think this might be the best thing they could have ever done,0,0,1,think might best thing could ever done
3955,O78Lpo4ctSE,"damn, they're so chill throughout the vid :D",0,0,1,damn theyre chill throughout vid
3964,O78Lpo4ctSE,THESE GUYS ARE AWESOME,0,0,1,guys awesome
3967,O78Lpo4ctSE,FUCKIN PERFECT!!!!!!!!!!! ❤❤❤❤❤❤,0,0,1,fuckin perfect
3986,O78Lpo4ctSE,Best,0,0,1,best
3991,O78Lpo4ctSE,omg finallyyyyyyyyyyyyyyyyyyyyy <3,0,0,1,omg finallyyyyyyyyyyyyyyyyyyyyy 3
4005,O78Lpo4ctSE,The 1975 + Børns = LANY <3,1,0,1,1975 brns lany 3
4006,qJJHhVf3_ZM,She is the worst.,10,1,-1,worst
4023,qJJHhVf3_ZM,Lol poop !!!!,0,0,1,lol poop
4094,qJJHhVf3_ZM,Boring,2,0,-1,boring
4129,3yoGE3v4A8w,Girl! You're trending #25\nAlso that Estee Lauder foundation looks great!.,0,0,1,girl youre trending 25\nalso estee lauder foundation looks great
4136,3yoGE3v4A8w,One of the best shade matches ever!!,0,0,1,one best shade matches ever
4148,3yoGE3v4A8w,Yes on Trending!!!!! That's great Taylor! 💗💗,0,0,1,yes trending thats great taylor
4156,3yoGE3v4A8w,So happy you're trending!! 💕,0,0,1,happy youre trending
4214,zTjcPeb2Gwg,5:14 😍 you're welcome!,0,0,1,514 youre welcome
4221,zTjcPeb2Gwg,:D,0,0,1,
4321,hQbeB0YXLhs,You don't need a foundation cus your face is hella flawless 😱😱😱,0,0,1,dont need foundation cus face hella flawless
4322,hQbeB0YXLhs,You don't even need foundation your skin is perfect !,0,0,1,dont even need foundation skin perfect
4324,hQbeB0YXLhs,You're so beautiful!! Your skin is flawless ❤️,0,0,1,youre beautiful skin flawless
4340,hQbeB0YXLhs,Your skin looks flawless. Literally… I thought you already had the foundation on from the start!,0,0,1,skin looks flawless literally thought already foundation start
4367,hQbeB0YXLhs,She doesnt even need foundation her skin is already perfect,1,0,1,doesnt even need foundation skin already perfect
4369,hQbeB0YXLhs,OMG your skin is flawless girlllll 👍👍❤❤,1,0,1,omg skin flawless girlllll
4380,hQbeB0YXLhs,Your skin is FLAWLESS 😍,0,0,1,skin flawless
4390,hQbeB0YXLhs,Your so beautiful ! 😻,0,0,1,beautiful
4396,hQbeB0YXLhs,you're soo beautiful!,0,0,1,youre soo beautiful
4400,hQbeB0YXLhs,Your skin is FLAWLESS,0,0,1,skin flawless
4401,hQbeB0YXLhs,omg your skin is GORGEOUS!!,0,0,1,omg skin gorgeous
4410,L3f7_y9UPh4,Can John be my best friend?,3,0,1,john best friend
4475,L3f7_y9UPh4,She's the best,1,0,1,shes best
4476,L3f7_y9UPh4,She's awesome.,1,0,1,shes awesome
4481,L3f7_y9UPh4,boring,0,0,-1,boring
4488,L3f7_y9UPh4,#iLoveGivers! :D,0,0,1,ilovegivers
4513,6vGg-jJl30A,Nile you are very good!,0,0,1,nile good
4549,6vGg-jJl30A,Congratulations Nile! You and your family are the best!!!,0,0,1,congratulations nile family best
4578,6vGg-jJl30A,"so good Nile, well done dude!!",0,0,1,good nile well done dude
4581,6vGg-jJl30A,YESSSSSSSSS NILE THANKYOU FOR BEING SO INSPIRATIONAL !!!!,0,0,1,yesssssssss nile thankyou inspirational
4582,6vGg-jJl30A,Your family's awesome,0,0,1,familys awesome
4587,6vGg-jJl30A,Congratulations Nile!  Phenomenal!!!!!!!!!!,0,0,1,congratulations nile phenomenal
4594,6vGg-jJl30A,Awesome guy! Awesome family! Awesome performance!,0,0,1,awesome guy awesome family awesome performance
4598,6vGg-jJl30A,Your dad is awesome,0,0,1,dad awesome
4602,6vGg-jJl30A,best dad EVER,0,0,1,best dad ever
4616,9CILSvf1snQ,Beautiful! 👏👏❤️,4,0,1,beautiful
4622,9CILSvf1snQ,Beautiful!,0,0,1,beautiful
4645,9CILSvf1snQ,Cracker Jack is popcorn coated in caramel and at the bottom of the bag there's a bunch of delicious candied peanuts,0,0,1,cracker jack popcorn coated caramel bottom bag theres bunch delicious candied peanuts
4648,9CILSvf1snQ,if you aint gettin money then you aint got nothin for me yes GOD loving the beyonce inspired stuff!!!,0,0,1,aint gettin money aint got nothin yes god loving beyonce inspired stuff
4650,9CILSvf1snQ,Looks divine and awesome as always! ><,0,0,1,looks divine awesome always
4654,9CILSvf1snQ,Sooooooooo preeeeeeetty! <3,0,0,1,sooooooooo preeeeeeetty 3
4680,9CILSvf1snQ,this is so beautiful!!!!,0,0,1,beautiful
4687,9CILSvf1snQ,Looks amaaaazing! <3,1,1,1,looks amaaaazing 3
4692,9CILSvf1snQ,"Perfect timing, I've been looking for a gold theme dessert to make for a childhood cancer awareness event! Great channel too!",1,1,1,perfect timing ive looking gold theme dessert make childhood cancer awareness event great channel
4695,9CILSvf1snQ,How about a banoffee macaron? Great video Nick!,0,1,1,banoffee macaron great video nick
4699,WoPtuVbaSKQ,Pls make star vs the forces of evil cookies or cake😛Pls...,0,0,-1,pls make star vs forces evil cookies cakepls
4702,WoPtuVbaSKQ,I tried this and this is a awesome recipe,1,0,1,tried awesome recipe
4753,WoPtuVbaSKQ,"Ro, You are the best baker ever I want to be a Baker/Chef when I grow up! Also can you do a cake that looks like the nerdy nummies words at the begining?  Thank you!",0,0,1,ro best baker ever want bakerchef grow also cake looks like nerdy nummies words begining thank
4756,WoPtuVbaSKQ,Could I have 1000000000 Pieces of them Please :D,0,0,1,could 1000000000 pieces please
4786,WoPtuVbaSKQ,Awesome recipies,0,0,1,awesome recipies
4788,WoPtuVbaSKQ,awesome cupcakes and pls make a sonic cake,0,0,1,awesome cupcakes pls make sonic cake
4792,WoPtuVbaSKQ,can you do something Beetlejuice themed? <3,0,0,1,something beetlejuice themed 3
4815,62cWuFjzOgs,Thats the best color!,0,0,1,thats best color
4924,NzRuDD0iYC0,Oliver is an idiot!,0,0,-1,oliver idiot
4953,eM_FR7I2Ttw,"*YES IT IS TRENDING, SO PROUD OF HIM!!*",3,0,1,yes trending proud
4955,eM_FR7I2Ttw,One of the best rock stars In years...!,3,0,1,one best rock stars years
4974,eM_FR7I2Ttw,He is no Lindsey Buckingham but it was good!!,0,0,1,lindsey buckingham good
4992,eM_FR7I2Ttw,THIS IS BEAUTIFUL! THOSE VOCALS,1,0,1,beautiful vocals
5000,eM_FR7I2Ttw,This cover is perfect !,1,0,1,cover perfect
5011,eM_FR7I2Ttw,damn <3,0,0,1,damn 3
5017,eM_FR7I2Ttw,This is awesome,0,0,1,awesome
5019,eM_FR7I2Ttw,SUPERB!,0,0,1,superb
5020,eM_FR7I2Ttw,INCREDIBLE! #Venezuela,0,0,1,incredible venezuela
5051,eM_FR7I2Ttw,I can't stand this guy.. But damn that was impressive.,0,1,1,cant stand guy damn impressive
5157,IMG0u0_cKNc,Well Americans call it .......... The Perfect Storm,0,0,1,well americans call perfect storm
5172,IMG0u0_cKNc,Wish Irma and one more will kill Donald Trump !!!!,0,0,1,wish irma one kill donald trump
5191,IMG0u0_cKNc,The MUSIC is awesome!,0,0,1,music awesome
5193,IMG0u0_cKNc,"Reminds me of that movie, 'A Perfect Storm.'",0,0,1,reminds movie perfect storm
5198,IMG0u0_cKNc,It's the perfect storm...,0,0,1,perfect storm
5269,bAon04ZJhHE,This is going to be awesome.,0,0,1,going awesome
5288,bAon04ZJhHE,King of the Hill and Animaniacs are both supposed to be coming back...and South Park could be on its way up again. I'm experiencing 12-year-old giddiness. :D,0,0,1,king hill animaniacs supposed coming backand south park could way im experiencing 12yearold giddiness
5325,bAon04ZJhHE,Awesome.,0,0,1,awesome
5397,LTnl36-0-zU,"I won't read this comment. What a Dick I am, I can't believe I just read this. I am pathetic!",0,0,-1,wont read comment dick cant believe read pathetic
5427,LTnl36-0-zU,They almost threw away the best joke: Cat-culator!,0,0,1,almost threw away best joke catculator
5428,LTnl36-0-zU,Best episode! I lost it at MY CARDS!!,0,0,1,best episode lost cards
5487,c7ymY8QEB2g,THIS IS THE BEST,0,0,1,best
5515,c7ymY8QEB2g,"You make me feel so happy,you inspire me,and if you ever doubt yourself don't you are perfect in every way and if you see a flaw all I see is flawlessness",0,0,1,make feel happyyou inspire meand ever doubt dont perfect every way see flaw see flawlessness
5537,c7ymY8QEB2g,How can someone call kirstie a slut when she's that flawless (yes I know it's for the video),1,0,1,someone call kirstie slut shes flawless yes know video
5551,c7ymY8QEB2g,Terrible,0,0,-1,terrible
5566,c7ymY8QEB2g,Slay so amazing!!!!!,0,0,1,slay amazing
5654,Ez95rPffd8k,This title of this video is incredibly condescending. Way to go E!,1,0,1,title video incredibly condescending way go e
5773,08RHSZvixec,They got the worst brand of honey soy chips 😂,1,0,-1,got worst brand honey soy chips
5793,_SRNenu07Lw,I love it! Go Fulop!!!,1,0,1,love go fulop
5849,iXexmZm3_j8,Astaxanthin is one of the best antioxidants for the body.,0,0,1,astaxanthin one best antioxidants body
5873,iXexmZm3_j8,Best vids don't stop,0,0,1,best vids dont stop
5920,GpAuCG6iUcA,"Please let this die, you can tell the actors are miserable.",0,0,-1,please let die tell actors miserable
5943,GpAuCG6iUcA,can't wait :'(,0,0,-1,cant wait
5959,GpAuCG6iUcA,"Don't be bringing cucumbers to the theaters this time!! You know who you are, ya nasty",0,0,-1,dont bringing cucumbers theaters time know ya nasty
6083,eRDxDEhEgNY,OMG...he's Stephen FUCKING Hawkings !!!!   (sarcasm: off),0,0,-1,omghes stephen fucking hawkings sarcasm
6087,eRDxDEhEgNY,tony did awesome. 😄,0,0,1,tony awesome
6124,AZTGeQ5msaU,Awesome  dude,0,0,1,awesome dude
6167,yiblDn4JGfQ,u're the man makes ererything become INCREDIBLE!!!,0,0,1,ure man makes ererything become incredible
6217,yiblDn4JGfQ,"Do you know how awesome you are, Pete?",0,0,1,know awesome pete
6224,yiblDn4JGfQ,awesome videon man 👌👌👌,0,0,1,awesome videon man
6230,yiblDn4JGfQ,Awesome as ever Peter!,0,0,1,awesome ever peter
6242,yiblDn4JGfQ,Great help!,0,0,1,great help
6263,xKXxJcf6_IE,Does Tommy knows that he's horrible?,0,0,-1,tommy knows hes horrible
6294,xKXxJcf6_IE,"Its so wierd how James still cant get away from the voice of Tommy, just listen to some of the sentences and words he use in this interview :D",0,0,1,wierd james still cant get away voice tommy listen sentences words use interview
6311,xKXxJcf6_IE,The Like to Dislike ratio for this video is one of the best I've ever seen.,0,0,1,like dislike ratio video one best ive ever seen
6342,xKXxJcf6_IE,"SØREN PILMARK !!!! Hey every Danish person watching, LOOK, IT'S SØREN PILMARK :D",0,0,1,sren pilmark hey every danish person watching look sren pilmark
6359,YQYslaA1Lus,The best Kanye album in my opinion.,0,0,1,best kanye album opinion
6404,YQYslaA1Lus,This is awesome,0,0,1,awesome
6430,YQYslaA1Lus,Man that album was awesome,0,0,1,man album awesome
6442,YQYslaA1Lus,Insane album,0,0,-1,insane album
6482,1nEp6DcHwhs,This was the best integration of a SquareSpace sponsored video ever!!!!!,0,0,1,best integration squarespace sponsored video ever
6517,1nEp6DcHwhs,I love your channel!!!!! 😀😀👍🏻,0,0,1,love channel
6542,1nEp6DcHwhs,Even the sponsers are so awesome,0,0,1,even sponsers awesome
6551,1nEp6DcHwhs,Fucking awesome hehe😂😂,0,0,1,fucking awesome hehe
6558,1nEp6DcHwhs,The Best!,0,0,1,best
